Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,2034.2805873016146
FDW14,OUT017,1741.338848104911
NCN55,OUT010,1553.2108087286974
FDQ58,OUT017,2348.3786257326888
FDY38,OUT027,4468.179810295292
FDH56,OUT046,2042.527287008727
FDL48,OUT018,1160.8203729219747
FDC48,OUT027,2899.0924406163613
FDN33,OUT045,1730.9672072961628
FDA36,OUT017,2843.2762556910184
FDT44,OUT017,2057.7468856724513
FDQ56,OUT045,1630.5136360891815
NCC54,OUT019,1606.5423955524518
FDU11,OUT049,2194.3863026089757
DRL59,OUT013,1380.9171964991729
FDM24,OUT049,2467.3689122067435
FDI57,OUT045,2810.844525803962
DRC12,OUT018,2530.716333213034
NCM42,OUT027,3150.0752481075588
FDA46,OUT010,1117.3596037893776
FDA31,OUT013,2655.0070792030156
NCJ31,OUT035,3318.9391503330817
FDG52,OUT046,1237.8920423147938
NCL19,OUT019,547.5574217113094
FDS10,OUT035,2768.2195780389857
FDX22,OUT010,1431.2179189216522
NCF19,OUT035,1424.1400843203446
NCE06,OUT046,2416.1839070585015
DRC27,OUT046,3276.7555703967155
FDE21,OUT035,2140.0469445021295
NCR42,OUT019,-568.0209884877283
FDX51,OUT018,2683.031483200461
NCR06,OUT018,1017.3177754597133
FDU31,OUT027,4364.556730252453
FDU59,OUT017,2527.4005029087475
FDR03,OUT027,4128.668951821977
FDS49,OUT027,2812.631147731342
FDD48,OUT010,365.69959899970956
NCF18,OUT017,2852.5301196809914
NCD43,OUT027,3080.7527231599115
NCD54,OUT018,2091.942439633297
FDY19,OUT010,390.9033238720924
NCY54,OUT017,2585.2812187093177
NCL19,OUT018,2063.7580351602746
FDP23,OUT010,1404.6104794776325
FDC26,OUT013,1998.9432778499206
FDR14,OUT010,-319.436867917713
NCS41,OUT035,2736.1628012419087
FDF41,OUT035,3482.3873397061316
FDU34,OUT046,2035.337901019527
DRH11,OUT046,1319.5312298565937
FDM03,OUT013,1768.3715672682524
FDS31,OUT017,2640.471614003741
FDJ20,OUT017,2192.738186616871
FDV44,OUT027,3999.873938172026
FDG02,OUT049,2906.31027642217
FDA09,OUT013,2692.6113102293166
FDT04,OUT013,1156.7801070664389
FDL58,OUT019,1855.5696230316958
FDE52,OUT045,1661.2402445576379
FDW12,OUT035,2455.742706060729
FDL51,OUT017,3157.8395324688654
NCY42,OUT027,3487.9157668405824
FDR07,OUT017,1907.2873144268635
FDN40,OUT045,2242.3693078486963
FDB35,OUT027,3027.4142178579823
FDA22,OUT017,2534.614222722116
NCL06,OUT046,3456.2364810245126
FDI35,OUT013,2730.239602980024
NCW42,OUT045,3028.6696040979473
NCX06,OUT049,2809.718468386787
FDC37,OUT027,3197.3130690484613
FDZ14,OUT018,1920.4998548893805
DRG49,OUT049,3423.8066620281134
NCG06,OUT045,3382.5153377606675
DRC36,OUT045,2543.4200949279293
FDV21,OUT019,307.1654135508078
FDB53,OUT046,2230.8354508618013
DRP47,OUT019,1600.106358761345
FDA14,OUT013,2333.2923089635897
DRC24,OUT035,2474.795893773592
FDW21,OUT018,1625.498560730403
NCH29,OUT046,1714.9747978876171
FDU58,OUT013,2824.042104840364
FDY27,OUT017,2636.309795773746
FDV56,OUT035,2115.1239722304335
FDT59,OUT046,3173.652105466197
FDB23,OUT046,3164.6197186123663
FDR49,OUT045,1162.1184189153744
FDB03,OUT010,1663.3344689661142
FDN39,OUT045,2505.738782494381
FDX02,OUT027,4320.090242499769
FDQ16,OUT027,3171.0740720401895
FDU35,OUT018,1521.455078783641
NCT29,OUT013,2109.8888861880573
FDZ27,OUT046,1207.0470955154547
FDN57,OUT017,2347.084091952511
FDA03,OUT018,2120.0741216483193
FDZ36,OUT045,2709.896480573393
NCU05,OUT013,1680.9786315002298
FDT39,OUT018,2257.722761777428
FDK60,OUT017,1813.567541516578
FDZ25,OUT017,2601.1794198662633
FDG12,OUT046,1939.418302436085
DRB01,OUT019,959.5029176991413
NCC43,OUT027,4533.1325208572425
FDX13,OUT019,1696.0244072899109
FDM22,OUT049,1507.8200153692162
FDJ03,OUT027,2569.6311248652382
FDU14,OUT018,3188.465790858616
FDB33,OUT010,900.327914030078
FDP27,OUT046,2739.6515000453683
FDO38,OUT010,-51.86340471079052
FDE28,OUT027,4374.69930584911
FDO27,OUT035,1867.818809157674
DRL23,OUT027,3117.910490180794
FDS28,OUT046,1377.2207374375837
FDX24,OUT013,1794.152158639135
FDZ02,OUT035,1964.577492849386
FDL46,OUT045,1982.2515148173425
FDS60,OUT027,3911.597148792982
NCO06,OUT017,1172.3597205494143
FDO16,OUT035,1820.2986075116792
FDC60,OUT049,1855.21865824192
FDA48,OUT018,2834.0961821724095
FDZ36,OUT027,3956.6359407768205
FDK27,OUT045,2052.7114542981894
FDW23,OUT018,1002.7690594024207
FDM14,OUT018,1748.9769732103105
FDM14,OUT013,1988.667817405198
FDW60,OUT018,2474.343083735453
FDE21,OUT013,2086.0663501392764
NCM42,OUT035,2037.1497693369029
FDY59,OUT010,75.3293388646332
DRI49,OUT049,1617.212809356432
FDT28,OUT019,707.4596969333193
FDQ22,OUT018,1012.7610017097206
FDR60,OUT049,1653.6874245658407
FDC50,OUT019,29.95534195092091
FDV24,OUT013,2309.930877910777
DRF48,OUT010,1324.6496460208555
